Time(s),Input(v),Output(v),Output(m),Output Derivative (m/s),Acceleration (m/s2),Sensor value,,
83.5,5,10,3679.381,60.5,-8.60E-11,,,
83.6,5,10,3685.431,60.5,0.1,,,
83.7,5,10,3691.481,60.51,0,,,
83.8,5,10,3697.532,60.51,-0.1,,,
83.9,5,10,3703.583,60.5,0.1,,,
84,5,10,3709.633,60.51,-1.31E-10,,,
84.1,5,10,3715.684,60.51,8.60E-11,,,
84.2,5,10,3721.735,60.51,0.1,,,
84.3,5,10,3727.786,60.52,-0.1,,,
84.4,5,10,3733.838,60.51,0.1,,,
84.5,5,10,3739.889,60.52,-0.1,,,
84.6,5,10,3745.941,60.51,0.1,,,
84.7,5,10,3751.992,60.52,4.55E-11,,,
84.8,5,10,3758.044,60.52,5.16E-10,,,
84.9,5,10,3764.096,60.52,0.099999999,,,
85,5,10,3770.148,60.53,-0.1,,,
85.1,5,10,3776.201,60.52,0.1,,,
85.2,5,10,3782.253,60.53,-0.1,,,
85.3,5,10,3788.306,60.52,0.1,,,
85.4,5,10,3794.358,60.53,8.60E-11,,,
85.5,5,10,3800.411,60.53,-8.60E-11,,,
85.6,5,10,3806.464,60.53,1.31E-10,,,
85.7,5,10,3812.517,60.53,0.1,,,
85.8,5,10,3818.57,60.54,-0.1,,,
85.9,5,10,3824.624,60.53,0.1,,,
86,5,10,3830.677,60.54,-1.31E-10,,,
86.1,5,10,3836.731,60.54,-0.1,,,
86.2,5,10,3842.785,60.53,0.1,,,
86.3,5,10,3848.838,60.54,-4.05E-11,,,
86.4,5,10,3854.892,60.54,0.1,,,
86.5,5,10,3860.946,60.55,-0.1,,,
86.6,5,10,3867.001,60.54,-4.71E-10,,,
86.7,5,10,3873.055,60.54,0.1,,,
86.8,5,10,3879.109,60.55,-1.32E-10,,,
86.9,5,10,3885.164,60.55,-0.1,,,
87,5,10,3891.219,60.54,0.1,,,
87.1,5,10,3897.273,60.55,8.60E-11,,,
87.2,5,10,3903.328,60.55,4.55E-11,,,
87.3,5,10,3909.383,60.55,0.1,,,
87.4,5,10,3915.438,60.56,-0.1,,,
87.5,5,10,3921.494,60.55,-8.60E-11,,,
87.6,5,10,3927.549,60.55,0.1,,,
87.7,5,10,3933.604,60.56,0,,,
87.8,5,10,3939.66,60.56,-0.1,,,
87.9,5,10,3945.716,60.55,0.1,,,
88,5,10,3951.771,60.56,-1.32E-10,,,
88.1,5,10,3957.827,60.56,1.32E-10,,,
88.2,5,10,3963.883,60.56,0.1,,,
88.3,5,10,3969.939,60.57,-0.1,,,
88.4,5,10,3975.996,60.56,-5.16E-10,,,
88.5,5,10,3982.052,60.56,0.1,,,
88.6,5,10,3988.108,60.57,-0.1,,,
88.7,5,10,3994.165,60.56,0.1,,,
88.8,5,10,4000.221,60.57,-4.06E-11,,,
88.9,5,10,4006.278,60.57,4.06E-11,,,
89,5,10,4012.335,60.57,-4.06E-11,,,
89.1,5,10,4018.392,60.57,4.06E-11,,,
89.2,5,10,4024.449,60.57,4.55E-11,,,
89.3,5,10,4030.506,60.57,0.1,,,
89.4,5,10,4036.563,60.58,-0.1,,,
89.5,5,10,4042.621,60.57,-4.06E-11,,,
89.6,5,10,4048.678,60.57,0.1,,,
89.7,5,10,4054.735,60.58,0,,,
89.8,5,10,4060.793,60.58,-0.1,,,
89.9,5,10,4066.851,60.57,0.1,,,
90,5,10,4072.908,60.58,-8.61E-11,,,
90.1,5,10,4078.966,60.58,6.89E-10,,,
90.2,5,10,4085.024,60.58,-5.57E-10,,,
90.3,5,10,4091.082,60.58,0.1,,,
90.4,5,10,4097.14,60.59,-0.1,,,
90.5,5,10,4103.199,60.58,0,,,
90.6,5,10,4109.257,60.58,0.1,,,
90.7,5,10,4115.315,60.59,-0.1,,,
90.8,5,10,4121.374,60.58,0.1,,,
90.9,5,10,4127.432,60.59,8.61E-11,,,
91,5,10,4133.491,60.59,0,,,
91.1,5,10,4139.55,60.59,-1.77E-10,,,
91.2,5,10,4145.609,60.59,1.77E-10,,,
91.3,5,10,4151.668,60.59,-8.61E-11,,,
91.4,5,10,4157.727,60.59,8.61E-11,,,
91.5,5,10,4163.786,60.59,0,,,
91.6,5,10,4169.845,60.59,-1.77E-10,,,
91.7,5,10,4175.904,60.59,0.1,,,
91.8,5,10,4181.963,60.6,-0.1,,,
91.9,5,10,4188.023,60.59,0.099999999,,,
92,5,10,4194.082,60.6,-0.1,,,
92.1,5,10,4200.142,60.59,0.1,,,
92.2,5,10,4206.201,60.6,-4.83E-12,,,
92.3,5,10,4212.261,60.6,4.83E-12,,,
92.4,5,10,4218.321,60.6,-4.83E-12,,,
92.5,5,10,4224.381,60.6,9.09E-11,,,
92.6,5,10,4230.441,60.6,-1.77E-10,,,
92.7,5,10,4236.501,60.6,1.77E-10,,,
92.8,5,10,4242.561,60.6,-1.77E-10,,,
92.9,5,10,4248.621,60.6,1.77E-10,,,
93,5,10,4254.681,60.6,0.1,,,
93.1,5,10,4260.741,60.61,-0.1,,,
93.2,5,10,4266.802,60.6,0.1,,,
93.3,5,10,4272.862,60.61,-0.1,,,
93.4,5,10,4278.923,60.6,0.1,,,
93.5,5,10,4284.983,60.61,0,,,
93.6,5,10,4291.044,60.61,6.08E-10,,,
93.7,5,10,4297.105,60.61,-0.100000001,,,
93.8,5,10,4303.166,60.6,0.1,,,
93.9,5,10,4309.226,60.61,-4.83E-12,,,
94,5,10,4315.287,60.61,0,,,
94.1,5,10,4321.348,60.61,4.83E-12,,,
94.2,5,10,4327.409,60.61,0.1,,,
94.3,5,10,4333.47,60.62,-0.1,,,
94.4,5,10,4339.532,60.61,1.77E-10,,,
94.5,5,10,4345.593,60.61,0.1,,,
94.6,5,10,4351.654,60.62,-0.1,,,
94.7,5,10,4357.716,60.61,0.1,,,
94.8,5,10,4363.777,60.62,-0.1,,,
94.9,5,10,4369.839,60.61,0.1,,,
95,5,10,4375.9,60.62,-0.1,,,
95.1,5,10,4381.962,60.61,0.1,,,
95.2,5,10,4388.023,60.62,8.61E-11,,,
95.3,5,10,4394.085,60.62,5.17E-10,,,
95.4,5,10,4400.147,60.62,-5.17E-10,,,
95.5,5,10,4406.209,60.62,0,,,
95.6,5,10,4412.271,60.62,4.83E-12,,,
95.7,5,10,4418.333,60.62,-4.83E-12,,,
95.8,5,10,4424.395,60.62,-8.61E-11,,,
95.9,5,10,4430.457,60.62,8.61E-11,,,
96,5,10,4436.519,60.62,0.1,,,
96.1,5,10,4442.581,60.63,-0.1,,,
96.2,5,10,4448.644,60.62,8.61E-11,,,
96.3,5,10,4454.706,60.62,0.1,,,
96.4,5,10,4460.768,60.63,-0.1,,,
96.5,5,10,4466.831,60.62,0.1,,,
96.6,5,10,4472.893,60.63,-8.62E-11,,,
96.7,5,10,4478.956,60.63,-0.1,,,
96.8,5,10,4485.019,60.62,0.1,,,
96.9,5,10,4491.081,60.63,8.62E-11,,,
97,5,10,4497.144,60.63,0,,,
97.1,5,10,4503.207,60.63,-0.1,,,
97.2,5,10,4509.27,60.62,0.1,,,
97.3,5,10,4515.332,60.63,-1.77E-10,,,
97.4,5,10,4521.395,60.63,1.77E-10,,,
97.5,5,10,4527.458,60.63,0,,,
97.6,5,10,4533.521,60.63,0.1,,,
97.7,5,10,4539.584,60.64,-0.1,,,
97.8,5,10,4545.648,60.63,-8.62E-11,,,
97.9,5,10,4551.711,60.63,8.62E-11,,,
98,5,10,4557.774,60.63,0.1,,,
98.1,5,10,4563.837,60.64,-0.1,,,
98.2,5,10,4569.901,60.63,8.62E-11,,,
98.3,5,10,4575.964,60.63,0.1,,,
98.4,5,10,4582.027,60.64,-0.1,,,
98.5,5,10,4588.091,60.63,0.1,,,
98.6,5,10,4594.154,60.64,4.76E-12,,,
98.7,5,10,4600.218,60.64,-0.1,,,
98.8,5,10,4606.282,60.63,0.100000001,,,
98.9,5,10,4612.345,60.64,-5.98E-10,,,
99,5,10,4618.409,60.64,-0.1,,,
99.1,5,10,4624.473,60.63,0.1,,,
99.2,5,10,4630.536,60.64,-4.76E-12,,,
99.3,5,10,4636.6,60.64,9.09E-11,,,
99.4,5,10,4642.664,60.64,-8.62E-11,,,
99.5,5,10,4648.728,60.64,-4.76E-12,,,
99.6,5,10,4654.792,60.64,4.76E-12,,,
99.7,5,10,4660.856,60.64,8.62E-11,,,
99.8,5,10,4666.92,60.64,-9.09E-11,,,
99.9,5,10,4672.984,60.64,0.099999998,,,
100,5,10,4679.048,60.65,-0.099999998,,,
100.1,5,10,4685.113,60.64,4.76E-12,,,
100.2,5,10,4691.177,60.64,8.62E-11,,,
100.3,5,10,4697.241,60.64,0.1,,,
100.4,5,10,4703.305,60.65,-0.1,,,
100.5,5,10,4709.37,60.64,0.1,,,
100.6,5,10,4715.434,60.65,-0.1,,,
100.7,5,10,4721.499,60.64,0.1,,,
100.8,5,10,4727.563,60.65,-0.1,,,
100.9,5,10,4733.628,60.64,0.1,,,
101,5,10,4739.692,60.65,-0.1,,,
101.1,5,10,4745.757,60.64,0.1,,,
101.2,5,10,4751.821,60.65,-4.76E-12,,,
101.3,5,10,4757.886,60.65,-0.1,,,
101.4,5,10,4763.951,60.64,0.1,,,
101.5,5,10,4770.015,60.65,6.12E-09,,,
101.6,5,10,4776.08,60.65,-6.12E-09,,,
101.7,5,10,4782.145,60.65,-8.62E-11,,,
101.8,5,10,4788.21,60.65,1.77E-10,,,
101.9,5,10,4794.275,60.65,-1.77E-10,,,
102,5,10,4800.34,60.65,1.77E-10,,,
102.1,5,10,4806.405,60.65,-9.09E-11,,,
102.2,5,10,4812.47,60.65,4.76E-12,,,
102.3,5,10,4818.535,60.65,-4.76E-12,,,
102.4,5,10,4824.6,60.65,-8.62E-11,,,
102.5,5,10,4830.665,60.65,1.77E-10,,,
102.6,5,10,4836.73,60.65,-9.09E-11,,,
102.7,5,10,4842.795,60.65,4.76E-12,,,
102.8,5,10,4848.86,60.65,0.1,,,
102.9,5,10,4854.925,60.66,-0.1,,,
103,5,10,4860.991,60.65,1.77E-10,,,
103.1,5,10,4867.056,60.65,0.1,,,
103.2,5,10,4873.121,60.66,-0.1,,,
103.3,5,10,4879.187,60.65,-4.76E-12,,,
103.4,5,10,4885.252,60.65,0.1,,,
103.5,5,10,4891.317,60.66,-0.1,,,
103.6,5,10,4897.383,60.65,0.1,,,
103.7,5,10,4903.448,60.66,-0.1,,,
103.8,5,10,4909.514,60.65,0.1,,,
103.9,5,10,4915.579,60.66,-1.77E-10,,,
104,5,10,4921.645,60.66,-0.1,,,
104.1,5,10,4927.711,60.65,0.1,,,
104.2,5,10,4933.776,60.66,4.76E-12,,,
104.3,5,10,4939.842,60.66,-0.1,,,
104.4,5,10,4945.908,60.65,0.1,,,
104.5,5,10,4951.973,60.66,8.62E-11,,,
104.6,5,10,4958.039,60.66,9.09E-11,,,
104.7,5,10,4964.105,60.66,-1.77E-10,,,
104.8,5,10,4970.171,60.66,8.62E-11,,,
104.9,5,10,4976.237,60.66,-0.1,,,
105,5,10,4982.303,60.65,0.1,,,
105.1,5,10,4988.368,60.66,0,,,
105.2,5,10,4994.434,60.66,-8.62E-11,,,
105.3,5,10,5000.5,60.66,8.62E-11,,,
105.4,5,10,5006.566,60.66,4.76E-12,,,
105.5,5,10,5012.632,60.66,-4.76E-12,,,
105.6,5,10,5018.698,60.66,0.1,,,
105.7,5,10,5024.764,60.67,-0.1,,,
105.8,5,10,5030.831,60.66,8.62E-11,,,
105.9,5,10,5036.897,60.66,4.76E-12,,,
106,5,10,5042.963,60.66,-4.76E-12,,,
106.1,5,10,5049.029,60.66,0,,,
106.2,5,10,5055.095,60.66,0.1,,,
106.3,5,10,5061.161,60.67,-0.1,,,
106.4,5,10,5067.228,60.66,-8.62E-11,,,
106.5,5,10,5073.294,60.66,0.1,,,
106.6,5,10,5079.36,60.67,-0.1,,,
106.7,5,10,5085.427,60.66,-1.77E-10,,,
106.8,5,10,5091.493,60.66,0.1,,,
106.9,5,10,5097.559,60.67,-0.1,,,
107,5,10,5103.626,60.66,0.1,,,
107.1,5,10,5109.692,60.67,-0.1,,,
107.2,5,10,5115.759,60.66,0.1,,,
107.3,5,10,5121.825,60.67,-0.1,,,
107.4,5,10,5127.892,60.66,0.1,,,
107.5,5,10,5133.958,60.67,-0.1,,,
107.6,5,10,5140.025,60.66,0.1,,,
107.7,5,10,5146.091,60.67,-0.1,,,
107.8,5,10,5152.158,60.66,0.1,,,
107.9,5,10,5158.224,60.67,-8.62E-11,,,
108,5,10,5164.291,60.67,-0.1,,,
108.1,5,10,5170.358,60.66,0.1,,,
108.2,5,10,5176.424,60.67,-8.62E-11,,,
108.3,5,10,5182.491,60.67,8.62E-11,,,
108.4,5,10,5188.558,60.67,-0.1,,,
108.5,5,10,5194.625,60.66,0.1,,,
108.6,5,10,5200.691,60.67,0,,,
108.7,5,10,5206.758,60.67,-8.62E-11,,,
108.8,5,10,5212.825,60.67,8.62E-11,,,
108.9,5,10,5218.892,60.67,-0.1,,,
109,5,10,5224.959,60.66,0.1,,,
109.1,5,10,5231.025,60.67,0,,,
109.2,5,10,5237.092,60.67,-8.62E-11,,,
109.3,5,10,5243.159,60.67,8.62E-11,,,
109.4,5,10,5249.226,60.67,-8.62E-11,,,
109.5,5,10,5255.293,60.67,8.62E-11,,,
109.6,5,10,5261.36,60.67,0,,,
109.7,5,10,5267.427,60.67,-8.62E-11,,,
109.8,5,10,5273.494,60.67,8.62E-11,,,
109.9,5,10,5279.561,60.67,-8.62E-11,,,
110,5,10,5285.628,60.67,8.62E-11,,,
110.1,5,10,5291.695,60.67,0,,,
110.2,5,10,5297.762,60.67,0.1,,,
110.3,5,10,5303.829,60.68,-0.1,,,
110.4,5,10,5309.897,60.67,-8.62E-11,,,
110.5,5,10,5315.964,60.67,8.62E-11,,,
110.6,5,10,5322.031,60.67,0,,,
110.7,5,10,5328.098,60.67,0.1,,,
110.8,5,10,5334.165,60.68,-0.1,,,
110.9,5,10,5340.233,60.67,-8.62E-11,,,
111,5,10,5346.3,60.67,8.62E-11,,,
111.1,5,10,5352.367,60.67,0.1,,,
111.2,5,10,5358.434,60.68,-0.1,,,
111.3,5,10,5364.502,60.67,8.62E-11,,,
111.4,5,10,5370.569,60.67,0.1,,,
111.5,5,10,5376.636,60.68,-0.1,,,
111.6,5,10,5382.704,60.67,0,,,
111.7,5,10,5388.771,60.67,0.1,,,
111.8,5,10,5394.838,60.68,-0.1,,,
111.9,5,10,5400.906,60.67,-8.62E-11,,,
112,5,10,5406.973,60.67,0.1,,,
112.1,5,10,5413.04,60.68,-0.1,,,
112.2,5,10,5419.108,60.67,0.1,,,
112.3,5,10,5425.175,60.68,-0.1,,,
112.4,5,10,5431.243,60.67,0.1,,,
112.5,5,10,5437.31,60.68,-0.1,,,
112.6,5,10,5443.378,60.67,0.1,,,
112.7,5,10,5449.445,60.68,-0.1,,,
112.8,5,10,5455.513,60.67,0.1,,,
112.9,5,10,5461.58,60.68,-8.62E-11,,,
113,5,10,5467.648,60.68,-0.1,,,
113.1,5,10,5473.716,60.67,0.1,,,
113.2,5,10,5479.783,60.68,-0.1,,,
113.3,5,10,5485.851,60.67,0.1,,,
113.4,5,10,5491.918,60.68,-8.62E-11,,,
113.5,5,10,5497.986,60.68,-0.1,,,
113.6,5,10,5504.054,60.67,0.1,,,
113.7,5,10,5510.121,60.68,-1.77E-10,,,
113.8,5,10,5516.189,60.68,-0.1,,,
113.9,5,10,5522.257,60.67,0.1,,,
114,5,10,5528.324,60.68,8.62E-11,,,
114.1,5,10,5534.392,60.68,0,,,
114.2,5,10,5540.46,60.68,-0.1,,,
114.3,5,10,5546.528,60.67,0.1,,,
114.4,5,10,5552.595,60.68,4.76E-12,,,
114.5,5,10,5558.663,60.68,8.62E-11,,,
114.6,5,10,5564.731,60.68,0,,,
114.7,5,10,5570.799,60.68,-0.1,,,
114.8,5,10,5576.867,60.67,0.1,,,
114.9,5,10,5582.934,60.68,-1.77E-10,,,
115,5,10,5589.002,60.68,1.77E-10,,,
115.1,5,10,5595.07,60.68,0,,,
115.2,5,10,5601.138,60.68,-8.62E-11,,,
115.3,5,10,5607.206,60.68,-4.76E-12,,,
115.4,5,10,5613.274,60.68,4.76E-12,,,
115.5,5,10,5619.342,60.68,8.62E-11,,,
115.6,5,10,5625.41,60.68,-0.1,,,
115.7,5,10,5631.478,60.67,0.1,,,
115.8,5,10,5637.545,60.68,-4.76E-12,,,
115.9,5,10,5643.613,60.68,4.76E-12,,,
116,5,10,5649.681,60.68,8.62E-11,,,
116.1,5,10,5655.749,60.68,0,,,
116.2,5,10,5661.817,60.68,-8.62E-11,,,
116.3,5,10,5667.885,60.68,-4.76E-12,,,
116.4,5,10,5673.953,60.68,4.76E-12,,,
116.5,5,10,5680.021,60.68,0.1,,,
116.6,5,10,5686.089,60.69,-0.1,,,
116.7,5,10,5692.158,60.68,4.76E-12,,,
116.8,5,10,5698.226,60.68,8.62E-11,,,
116.9,5,10,5704.294,60.68,-8.62E-11,,,
117,5,10,5710.362,60.68,-4.76E-12,,,
117.1,5,10,5716.43,60.68,9.09E-11,,,
117.2,5,10,5722.498,60.68,-8.62E-11,,,
117.3,5,10,5728.566,60.68,8.62E-11,,,
117.4,5,10,5734.634,60.68,-8.62E-11,,,
117.5,5,10,5740.702,60.68,0.1,,,
117.6,5,10,5746.77,60.69,-0.1,,,
117.7,5,10,5752.839,60.68,-8.62E-11,,,
117.8,5,10,5758.907,60.68,-4.76E-12,,,
117.9,5,10,5764.975,60.68,4.76E-12,,,
118,5,10,5771.043,60.68,0.1,,,
118.1,5,10,5777.111,60.69,-0.1,,,
118.2,5,10,5783.18,60.68,4.76E-12,,,
118.3,5,10,5789.248,60.68,8.62E-11,,,
118.4,5,10,5795.316,60.68,0.1,,,
118.5,5,10,5801.384,60.69,-0.1,,,
118.6,5,10,5807.453,60.68,9.09E-11,,,
118.7,5,10,5813.521,60.68,-8.62E-11,,,
118.8,5,10,5819.589,60.68,0.1,,,
118.9,5,10,5825.657,60.69,-0.1,,,
119,5,10,5831.726,60.68,8.62E-11,,,
119.1,5,10,5837.794,60.68,0.100000006,,,
119.2,5,10,5843.862,60.69,-0.100000006,,,
119.3,5,10,5849.931,60.68,-8.62E-11,,,
119.4,5,10,5855.999,60.68,0.1,,,
119.5,5,10,5862.067,60.69,-0.1,,,
119.6,5,10,5868.136,60.68,1.77E-10,,,
119.7,5,10,5874.204,60.68,0.1,,,
119.8,5,10,5880.272,60.69,-0.1,,,
119.9,5,10,5886.341,60.68,1.77E-10,,,
120,5,10,5892.409,60.68,0.1,,,
120.1,5,10,5898.477,60.69,-0.1,,,
120.2,5,10,5904.546,60.68,-115.4771405,,,
120.3,5,10,5910.614,49.13228595,0.40841468,,,
